Order ID,Vendor ID,HubCN ID,Plan _HubCN_Receiving Time,HubCN_Receiving Time,Plan_HubCN_Pickup Time,HubCN_Pickup Time
LECVN024539544113,CN48496,LECCNYW,3/30/2022 8:37,3/30/2022 15:51,3/30/2022 12:44,3/31/2022 0:00
LECVN022821637894,CN03356,LECCNSZ,3/28/2022 7:57,3/28/2022 17:58,3/28/2022 12:04,3/29/2022 6:06
LECVN029238427964,CN03356,LECCNSZ,3/30/2022 2:48,3/30/2022 18:44,3/30/2022 6:27,3/31/2022 6:45
LECVN025476842694,CN95381,LECCNYW,3/28/2022 20:47,3/29/2022 19:49,3/29/2022 0:18,3/30/2022 6:07
LECVN028157363744,CN27928,LECCNYW,3/31/2022 7:52,3/29/2022 18:43,3/31/2022 11:59,3/30/2022 6:45
LECVN026002602304,CN80546,LECCNYW,3/30/2022 8:29,3/29/2022 19:10,3/30/2022 12:07,3/30/2022 6:18
LECVN022506577963,CN23003,LECCNSZ,4/1/2022 2:39,4/1/2022 13:01,4/1/2022 6:40,4/2/2022 0:25
LECVN024475058364,CN73456,LECCNYW,3/31/2022 21:40,3/29/2022 5:52,4/1/2022 0:43,3/29/2022 12:57
LECVN028888128954,CN39822,LECCNYW,3/31/2022 21:01,3/29/2022 5:43,4/1/2022 0:32,3/29/2022 12:47
LECVN026134480434,CN05856,LECCNSZ,3/31/2022 21:21,3/29/2022 13:31,4/1/2022 0:26,3/30/2022 0:55
LECVN028771106324,CN48496,LECCNYW,3/30/2022 9:06,3/29/2022 5:15,3/30/2022 12:09,3/29/2022 12:18
LECVN025764653744,CN34621,LECCNYW,3/30/2022 10:04,3/29/2022 19:18,3/30/2022 12:12,3/30/2022 6:24
LECVN026946954903,CN48496,LECCNYW,3/29/2022 8:35,3/29/2022 19:52,3/29/2022 12:37,3/30/2022 6:08
LECVN025396884873,CN32990,LECCNYW,3/29/2022 10:05,3/29/2022 4:32,3/29/2022 12:07,3/29/2022 12:38
LECVN025591814974,CN91249,LECCNYW,3/29/2022 14:40,3/26/2022 23:22,3/29/2022 18:13,3/27/2022 6:26
LECVN022132110453,CN00328,LECCNSZ,3/28/2022 2:34,3/28/2022 18:09,3/28/2022 6:06,3/29/2022 6:17
LECVN028690118643,CN56433,LECCNYW,3/31/2022 18:54,3/29/2022 18:52,4/1/2022 0:03,3/30/2022 6:54
LECVN024771517743,CN08069,LECCNSZ,3/28/2022 2:46,3/28/2022 17:50,3/28/2022 6:48,3/29/2022 5:54
LECVN024052178484,CN94105,LECCNYW,4/1/2022 19:00,4/1/2022 5:11,4/2/2022 0:09,4/1/2022 12:19
LECVN029266259683,CN98042,LECCNYW,3/29/2022 18:50,3/29/2022 19:25,3/29/2022 23:59,3/30/2022 6:33
LECVN029579263724,CN54850,LECCNYW,3/30/2022 10:25,3/29/2022 4:00,3/30/2022 12:33,3/29/2022 12:01
LECVN025501520723,CN80546,LECCNYW,3/27/2022 21:52,3/29/2022 4:59,3/27/2022 23:57,3/29/2022 12:04
LECVN028289972933,CN14209,LECCNSZ,4/1/2022 8:45,3/31/2022 18:41,4/1/2022 12:48,4/1/2022 6:42
LECVN024244501183,CN08069,LECCNSZ,3/30/2022 20:40,3/29/2022 12:44,3/31/2022 0:48,3/30/2022 0:02
LECVN029031455034,CN32990,LECCNYW,3/29/2022 4:37,3/29/2022 20:20,3/29/2022 6:44,3/30/2022 6:41
LECVN024812325674,CN00328,LECCNSZ,3/30/2022 1:18,3/29/2022 20:00,3/30/2022 6:24,3/30/2022 6:38
LECVN027770276323,CN14209,LECCNSZ,3/30/2022 20:36,3/30/2022 18:46,3/31/2022 0:10,3/31/2022 6:49
LECVN024286310673,CN14209,LECCNSZ,3/31/2022 1:18,3/31/2022 17:51,3/31/2022 6:24,4/1/2022 5:58
LECVN026472445513,CN48496,LECCNYW,3/29/2022 8:41,3/29/2022 5:04,3/29/2022 12:17,3/29/2022 12:08
LECVN025125077123,CN05856,LECCNSZ,3/29/2022 15:53,3/29/2022 13:11,3/29/2022 18:54,3/30/2022 0:31
LECVN027016061183,CN80546,LECCNYW,3/29/2022 13:09,3/29/2022 23:31,3/29/2022 18:15,3/30/2022 6:32
LECVN023619072304,CN08069,LECCNSZ,3/28/2022 22:42,3/29/2022 11:47,3/29/2022 0:48,3/29/2022 23:52
LECVN021460658673,CN23003,LECCNSZ,3/31/2022 8:26,4/1/2022 5:49,3/31/2022 12:32,4/1/2022 16:20
LECVN020548471343,CN05856,LECCNSZ,3/27/2022 20:07,3/29/2022 12:39,3/28/2022 0:15,3/29/2022 23:55
LECVN024361539813,CN55243,LECCNYW,3/31/2022 2:36,3/29/2022 18:49,3/31/2022 6:41,3/30/2022 6:55
LECVN020818961193,CN69053,LECCNYW,3/31/2022 20:17,3/29/2022 18:47,3/31/2022 23:56,3/30/2022 6:49
LECVN028973609843,CN20296,LECCNSZ,3/30/2022 20:28,4/1/2022 5:47,3/31/2022 0:37,4/1/2022 16:18
LECVN028568984143,CN96121,LECCNYW,3/30/2022 10:12,3/29/2022 19:51,3/30/2022 12:16,3/30/2022 6:11
LECVN029654651743,CN00328,LECCNSZ,3/31/2022 3:06,3/29/2022 12:11,3/31/2022 6:08,3/30/2022 0:18
LECVN025357597224,CN94105,LECCNYW,3/29/2022 1:34,3/26/2022 23:49,3/29/2022 6:43,3/27/2022 6:51
LECVN026470827863,CN32990,LECCNYW,3/29/2022 2:48,3/26/2022 23:28,3/29/2022 6:19,3/27/2022 6:35
LECVN021387592883,CN70331,LECCNYW,4/1/2022 21:25,4/1/2022 5:08,4/2/2022 0:29,4/1/2022 12:12
LECVN028603281033,CN93476,LECCNYW,3/30/2022 15:55,3/29/2022 19:53,3/30/2022 18:04,3/30/2022 6:11
LECVN025968807343,CN48496,LECCNYW,3/30/2022 8:25,3/29/2022 4:54,3/30/2022 12:27,3/29/2022 12:01
LECVN022866576064,CN96121,LECCNYW,3/29/2022 2:57,3/29/2022 3:47,3/29/2022 6:36,3/29/2022 11:55
LECVN022137405003,CN25990,LECCNYW,3/28/2022 14:47,3/29/2022 4:58,3/28/2022 18:50,3/29/2022 12:03
LECVN023300851623,CN56433,LECCNYW,3/29/2022 8:17,3/29/2022 4:48,3/29/2022 12:22,3/29/2022 11:52
LECVN027966454213,CN48496,LECCNYW,3/29/2022 9:15,3/29/2022 5:04,3/29/2022 12:17,3/29/2022 12:12
