Order ID,Customer ID,HubVN ID,Plan_HubVN_Receiving Time,HubVN_Receiving Time,Plan_HubVN_Pickup Time,HubVN_Pickup Time
LECVN024539544113,VN4158790,LECVNLB,4/2/2022 12:52,4/3/2022 12:07,4/2/2022 14:52,4/3/2022 14:44
LECVN022821637894,VN1171380,LECVNTL,3/31/2022 12:11,4/1/2022 6:12,3/31/2022 14:11,4/1/2022 8:17
LECVN029238427964,VN6402681,LECVNHĐ,4/1/2022 6:32,4/2/2022 6:54,4/1/2022 8:32,4/2/2022 8:49
LECVN025476842694,VN6007437,LECVNTL,4/1/2022 12:22,4/2/2022 6:15,4/1/2022 14:22,4/2/2022 8:34
LECVN028157363744,VN8824806,LECVNTL,4/2/2022 12:00,4/3/2022 6:47,4/2/2022 14:00,4/3/2022 9:53
LECVN026002602304,VN8282002,LECVNLB,4/1/2022 12:16,4/2/2022 6:22,4/1/2022 14:16,4/2/2022 8:30
LECVN022506577963,VN4786700,LECVNLB,4/4/2022 6:43,4/4/2022 12:26,4/4/2022 8:43,4/4/2022 15:21
LECVN024475058364,VN7731211,LECVNLB,4/2/2022 12:45,4/2/2022 12:58,4/2/2022 14:45,4/2/2022 15:00
LECVN028888128954,VN6217404,LECVNTL,4/2/2022 12:36,4/2/2022 12:51,4/2/2022 14:36,4/2/2022 15:16
LECVN026134480434,VN4636388,LECVNLB,4/2/2022 12:31,4/2/2022 12:57,4/2/2022 14:31,4/2/2022 15:36
LECVN028771106324,VN6126034,LECVNLB,4/2/2022 12:15,4/2/2022 12:27,4/2/2022 14:15,4/2/2022 15:13
LECVN025764653744,VN2440617,LECVNTL,4/1/2022 12:19,4/2/2022 6:31,4/1/2022 14:19,4/2/2022 8:46
LECVN026946954903,VN6184682,LECVNHĐ,4/1/2022 12:43,4/2/2022 6:10,4/1/2022 14:43,4/2/2022 8:01
LECVN025396884873,VN6328135,LECVNTL,4/1/2022 12:15,4/1/2022 12:42,4/1/2022 14:15,4/1/2022 15:12
LECVN025591814974,VN6052339,LECVNLB,3/31/2022 6:20,4/1/2022 6:30,3/31/2022 8:20,4/1/2022 8:23
LECVN022132110453,VN3075508,LECVNHĐ,3/31/2022 6:13,4/1/2022 6:20,3/31/2022 8:13,4/1/2022 9:17
LECVN028690118643,VN6186786,LECVNLB,4/2/2022 12:12,4/3/2022 6:58,4/2/2022 14:12,4/3/2022 10:05
LECVN024771517743,VN6883696,LECVNLB,3/31/2022 6:55,4/1/2022 6:03,3/31/2022 8:55,4/1/2022 8:53
LECVN024052178484,VN6638333,LECVNLB,4/3/2022 12:13,4/4/2022 12:22,4/3/2022 14:13,4/4/2022 14:51
LECVN029266259683,VN4361393,LECVNLB,4/2/2022 12:00,4/3/2022 6:39,4/2/2022 14:00,4/3/2022 9:08
LECVN029579263724,VN1837302,LECVNTL,4/1/2022 12:38,4/2/2022 12:02,4/1/2022 14:38,4/2/2022 14:21
LECVN025501520723,VN9289712,LECVNLB,3/31/2022 12:04,4/1/2022 12:12,3/31/2022 14:04,4/1/2022 14:45
LECVN028289972933,VN2125591,LECVNHĐ,4/3/2022 12:51,4/4/2022 6:50,4/3/2022 14:51,4/4/2022 9:54
LECVN024244501183,VN2450513,LECVNTL,4/1/2022 12:55,4/2/2022 12:03,4/1/2022 14:55,4/2/2022 14:35
LECVN029031455034,VN1039592,LECVNLB,4/1/2022 6:45,4/2/2022 6:45,4/1/2022 8:45,4/2/2022 9:27
LECVN024812325674,VN3211034,LECVNLB,4/2/2022 6:27,4/3/2022 6:40,4/2/2022 8:27,4/3/2022 9:43
LECVN027770276323,VN3032656,LECVNLB,4/1/2022 12:14,4/2/2022 6:51,4/1/2022 14:14,4/2/2022 9:33
LECVN024286310673,VN2136642,LECVNLB,4/3/2022 6:28,4/4/2022 6:00,4/3/2022 8:28,4/4/2022 9:06
LECVN026472445513,VN9977016,LECVNLB,3/31/2022 12:22,4/1/2022 12:12,3/31/2022 14:22,4/1/2022 13:12
LECVN025125077123,VN5429619,LECVNHĐ,4/2/2022 6:57,4/2/2022 12:36,4/2/2022 8:57,4/2/2022 15:00
LECVN027016061183,VN9921112,LECVNLB,3/31/2022 6:19,4/3/2022 6:35,3/31/2022 8:19,4/3/2022 8:59
LECVN023619072304,VN5461993,LECVNLB,4/1/2022 12:49,4/1/2022 12:01,4/1/2022 14:49,4/1/2022 14:46
LECVN021460658673,VN15751,LECVNLB,4/3/2022 12:40,4/3/2022 12:22,4/3/2022 14:40,4/3/2022 14:55
LECVN020548471343,VN2004486,LECVNTL,3/31/2022 12:24,4/1/2022 12:01,3/31/2022 14:24,4/1/2022 13:01
LECVN024361539813,VN8391507,LECVNTL,4/2/2022 6:42,4/3/2022 6:59,4/2/2022 8:42,4/3/2022 10:03
LECVN020818961193,VN5762322,LECVNLB,4/2/2022 12:04,4/3/2022 6:53,4/2/2022 14:04,4/3/2022 9:53
LECVN028973609843,VN2013248,LECVNLB,4/3/2022 12:44,4/3/2022 12:23,4/3/2022 14:44,4/3/2022 15:02
LECVN028568984143,VN3955841,LECVNLB,4/1/2022 12:20,4/2/2022 6:15,4/1/2022 14:20,4/2/2022 8:57
LECVN029654651743,VN1812820,LECVNLB,4/2/2022 6:09,4/2/2022 12:26,4/2/2022 8:09,4/2/2022 15:12
LECVN025357597224,VN10369,LECVNHĐ,3/31/2022 6:49,4/1/2022 6:59,3/31/2022 8:49,4/1/2022 8:59
