Order ID,Vendor ID,Pickup Address,HubCN ID,Plan_Vendor_Pickup Time,Vendor_PickupTime
LECVN024539544113,CN48496,"No.1,Sitong West Rd,Yixi Industrial Park Yiwu City CN",LECCNYW,3/30/2022 7:20,3/30/2022 9:45
LECVN022821637894,CN03356,"7B, A Buliding of Construction Group, Shenzhen Guangdong,",LECCNSZ,3/25/2022 15:59,3/28/2022 13:54
LECVN029238427964,CN03356,"7B, A Buliding of Construction Group, Shenzhen Guangdong,",LECCNSZ,3/28/2022 11:09,3/30/2022 15:07
LECVN025476842694,CN95381,"No. 52 Xingyun Road, Jinsanjiao Industrial Zone, Yiwu City CN",LECCNYW,3/27/2022 1:45,3/29/2022 17:40
LECVN028157363744,CN27928,"No.5 , Building 15 ,Zijing District 3 , Xialuozhai Yiwu City CN",LECCNYW,3/29/2022 6:00,3/29/2022 16:01
LECVN026002602304,CN80546,"4F,NO.6,Building 28,Xiawang E District,Jiangdong Road,Yiwu",LECCNYW,3/26/2022 19:56,3/29/2022 17:04
LECVN022506577963,CN23003,"4/F., No 21 South area XiLi town, Wang Tang industrial district",LECCNSZ,3/30/2022 11:59,4/1/2022 11:45
LECVN024475058364,CN73456,"2 Jiangdong Road,Yiwu",LECCNYW,3/28/2022 20:51,3/29/2022 3:50
LECVN028888128954,CN39822,"2nd Floor, No. 20 Of Qingkou Xincun Yiwu City CN",LECCNYW,3/27/2022 9:35,3/29/2022 3:41
LECVN026134480434,CN05856,"7B, A Buliding of Construction Group, Shenzhen Guangdong,",LECCNSZ,3/27/2022 7:39,3/29/2022 9:22
LECVN028771106324,CN48496,"No.1,Sitong West Rd,Yixi Industrial Park Yiwu City CN",LECCNYW,3/28/2022 11:12,3/29/2022 3:14
LECVN025764653744,CN34621,"No. 7, Xinxing Lane, Jiangwan, Choujiang St., Yiwu City , Jinhua , Zhejiang China (Mainland) Yiwu City CN",LECCNYW,3/27/2022 1:15,3/29/2022 17:10
LECVN026946954903,CN48496,"No.1,Sitong West Rd,Yixi Industrial Park Yiwu City CN",LECCNYW,3/28/2022 5:39,3/29/2022 17:46
LECVN025396884873,CN32990,"4th F, No. 18 Building, No. 7 Section, Xingzhong District Yiwu City CN",LECCNYW,3/26/2022 7:47,3/29/2022 0:25
LECVN025591814974,CN91249,"No.14519,District G of Yiwu International Trade Market 2,Yiwu City",LECCNYW,3/27/2022 3:12,3/26/2022 21:15
LECVN022132110453,CN00328,"5/F, NO. 294 Fanshen Road, BaoAn Zone, China",LECCNSZ,3/25/2022 15:59,3/28/2022 14:04
LECVN028690118643,CN56433,"Rm. 202, 2nd Floor, No. 2, Bldg. 41, Changchun 3rd Area, Yiwu city",LECCNYW,3/28/2022 18:09,3/29/2022 16:14
LECVN024771517743,CN08069,"Room 23D, Buliding B, Jing Xiu Da Xia Wen Jing Zhong Road, Luo Hu District, Shenzhen Guangdong, 518000",LECCNSZ,3/26/2022 14:40,3/28/2022 14:44
LECVN024052178484,CN94105,"No.358,Shengshou RD,Chengxi Special Industrial Zone Yiwu City",LECCNYW,3/28/2022 10:13,4/1/2022 3:08
LECVN029266259683,CN98042,"No. 42 Dong Qiaodong 1th Dist, Yiwu City, Zhejiang, China Yiwu City",LECCNYW,3/27/2022 0:44,3/29/2022 16:43
LECVN029579263724,CN54850,"No. 755, West Xuefeng Road Yiwu City CN",LECCNYW,3/26/2022 9:24,3/29/2022 1:59
LECVN025501520723,CN80546,"4F,NO.6,Building 28,Xiawang E District,Jiangdong Road,Yiwu",LECCNYW,3/26/2022 20:50,3/29/2022 2:56
LECVN028289972933,CN14209,"Room823, 8/F, Jiejia Plaza, No.3037, Shennanzhong Rd",LECCNSZ,3/26/2022 16:51,3/31/2022 15:52
LECVN024244501183,CN08069,"Room 23D, Buliding B, Jing Xiu Da Xia Wen Jing Zhong Road, Luo Hu District, Shenzhen Guangdong, 518000",LECCNSZ,3/28/2022 17:22,3/29/2022 9:03
LECVN029031455034,CN32990,"4th F, No. 18 Building, No. 7 Section, Xingzhong District Yiwu City CN",LECCNYW,3/25/2022 20:21,3/29/2022 18:11
LECVN024812325674,CN00328,"5/F, NO. 294 Fanshen Road, BaoAn Zone, China",LECCNSZ,3/29/2022 22:43,3/29/2022 18:38
LECVN027770276323,CN14209,"Room823, 8/F, Jiejia Plaza, No.3037, Shennanzhong Rd",LECCNSZ,3/28/2022 20:56,3/30/2022 15:10
LECVN024286310673,CN14209,"Room823, 8/F, Jiejia Plaza, No.3037, Shennanzhong Rd",LECCNSZ,3/29/2022 7:47,3/31/2022 14:45
LECVN026472445513,CN48496,"No.1,Sitong West Rd,Yixi Industrial Park Yiwu City CN",LECCNYW,3/27/2022 14:00,3/29/2022 2:58
LECVN025125077123,CN05856,"7B, A Buliding of Construction Group, Shenzhen Guangdong,",LECCNSZ,3/28/2022 21:23,3/29/2022 9:03
LECVN027016061183,CN80546,"4F,NO.6,Building 28,Xiawang E District,Jiangdong Road,Yiwu",LECCNYW,3/27/2022 2:57,3/29/2022 3:02
